CollegeName,Stream,Degree,City,State,Cutoff,Website
IIT Madras,Science,B.Tech,Chennai,Tamil Nadu,85,https://www.iitm.ac.in
AIIMS Delhi,Science,MBBS,New Delhi,Delhi,90,https://www.aiims.edu
Loyola College,Commerce,B.Com,Chennai,Tamil Nadu,75,https://www.loyolacollege.edu
Christ University,Arts,BA,Bangalore,Karnataka,70,https://christuniversity.in
VIT Vellore,Science,B.Tech,Vellore,Tamil Nadu,80,https://www.vit.ac.in
St. Xavier's College,Arts,BA,Mumbai,Maharashtra,78,https://xaviers.edu
SRCC,Commerce,B.Com,Delhi,Delhi,88,https://www.srcc.edu
NIFT Delhi,Arts,Design,New Delhi,Delhi,70,https://www.nift.ac.in
IIT Bombay,Science,B.Tech,Mumbai,Maharashtra,92,https://www.iitb.ac.in
MMC Chennai,Science,MBBS,Chennai,Tamil Nadu,87,https://www.mmc.tn.gov.in
